CO,Alcohol,CO2,Tolueno,NH4,Acetona,CA
12.29647213130905,2.522735420060913,421.54330043882055,1.621578732886515,52.48782803457959,4.607117413321406,0
9658.416205251224,13.150118002077008,422.8385264039731,10.349640047643936,26.691450483452336,5.077656644122667,1
13.980299494182955,8.80380975993804,411.8041046323929,0.060145931269319775,48.879520326536586,14.119479700121785,0
38.930774789725454,12.70911614534583,714.2173642174912,2.108538931635213,10.143964637786992,101.59577575546913,1
30.248190830607378,5.32266359373012,405.52265577605874,8.334150307331429,16.32083871494645,8.84090333750078,0
84.59324150626287,309.2798720810023,441.9975519588818,5.974991937518506,29.20410434979958,11.517656173955562,1
43.58388425814111,9.210761112696876,406.72322570014427,10.901571103372037,22.747854744661986,211.73659749294495,1
99.03967887935826,5.836944725798358,440.5404561200813,5.455640816850487,43.635100569755124,1.802082386629844,0
31.610073069716556,2.3764878583787628,444.0287689316603,7.0966916104903754,24.161803555374284,13.907069876560325,0
6791.540501324369,1.7732066922047736,1958.1398858691798,23.45541309340521,23.918203809000836,7.982133785069805,1
56.027514500647584,7.393544451333882,401.1024803031431,0.24345968690804298,13.80211381935315,15.975830193969443,0
62.50734232485813,6.183523924064513,407.6774113384805,17.90874619872836,5.970427236370698,8.574887450565832,0
12.88362086615707,11.15799375131657,439.67005322411177,98.14502609885668,52.02124833504656,0.16097449871397052,1
21.771912871362826,12.626071969234081,409.1749912000988,0.5944997313340328,8.198793945042883,14.301975048475713,0
52.470654681131734,270.36215960456514,433.92517689968753,12.479737570187643,163.1205561160583,1.2853922367841442,1
36.064686978131405,6.9279774306535895,407.69344208999803,9.279731066029102,34.177148891705166,13.498668649365964,0
85.51289293769369,11.589822882363789,434.56101528405827,18.898240299847334,5.497767111584454,8.799671294608341,0
73.0329459893001,12.812499506080925,442.89118109811034,323.6703556782875,15.611434291993394,18.482742512161046,1
16.88926739573839,4.784658146429716,404.47274691300424,4.54445845475282,35.02438633370498,18.075377531814304,0
28.79941950954003,17.88953320612934,407.0800097102511,14.188987204975238,9.9875240606965,13.077423964994033,0
9514.108169789677,6.127107033168206,431.94859233217977,178.50042231747483,22.23543895635356,16.386687357052047,1
31.050925588290937,13.115874538795707,1972.9360726486318,17.235814476992605,43.67878900294427,12.584700675266703,1
26.97643635263825,2.0968573297735493,404.1534824756804,10.760778945004393,44.34518327967706,0.3531674617015912,0
26.233654131826626,4.319559145302868,417.3979213637665,0.9203488859025333,323.4927158819347,10.419219420822756,1
40.07862308087146,13.279367524277385,444.0596981303885,15.819272590582719,56.28191689975086,3.685522158726471,0
39.46848760747775,13.171606422138645,427.1178168226661,0.6328330281205807,407.8203170565089,8.784974750040156,1
1117.1198624599276,8.240643610274695,440.6329596543318,2.8775353896610345,15.080214941594246,8.79873136135993,1
96.07326370694561,9.720766997274547,416.0304632428931,17.652143917358224,58.39780095517811,15.249649080299594,0
45.40432394218155,775.3810283597946,444.82825295491364,284.608077501295,8.296003802985595,15.662033052735893,1
69.16120825460555,15.181798041407562,401.3279007609531,2.4976151738128594,30.903565259866497,13.414906407971742,0
86.73329997705537,6.178595903851033,1347.562510349003,224.49905494070455,25.3709466428344,16.67063635645741,1
10.276406486116436,10.563166841387519,412.2065800445375,10.420939597547054,41.128107559765084,15.809874034842421,0
52.719185382654445,3.60065991431116,402.5153739718979,13.265440865206084,12.383690324414168,3.795816053289076,0
63.95254518788099,1.5315804452923873,448.93560383148974,3.731125459896396,55.810742300798836,18.486479501733502,0
87.22969651023696,18.246536387374515,423.7897238470108,16.043561061852607,48.786306213823636,17.09134231838538,0
84.81552848128538,8.458221474671895,414.1179149062527,16.509583573782066,48.368285566357166,10.638784235258589,0
52.01180754230137,16.892457589643076,432.2535638172876,10.523000843668694,7.734726972576446,201.75955099948303,1
